Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,CV F1 Mean,CV F1 Std,CV PR-AUC
Random Forest,0.7692307692307693,0.42857142857142855,0.6,0.5,0.8476190476190477,0.6393939393939394,0.49523809523809526,0.08702698515474792,0.7249206349206349
Gradient Boosting,0.8846153846153846,0.6666666666666666,0.8,0.7272727272727273,0.8761904761904762,0.71,0.5798412698412698,0.17697067355799856,0.6449206349206349
XGBoost,0.7692307692307693,0.4444444444444444,0.8,0.5714285714285714,0.8285714285714286,0.6692982456140351,0.5764069264069264,0.1535204345625171,0.7587179487179487
LightGBM,0.7692307692307693,0.4444444444444444,0.8,0.5714285714285714,0.8476190476190476,0.7055555555555555,0.5609523809523809,0.10206040628280999,0.782063492063492
SVM,0.7307692307692307,0.375,0.6,0.46153846153846156,0.819047619047619,0.575970695970696,0.6088888888888889,0.20189228273304677,0.7206349206349206
Logistic Regression,0.6923076923076923,0.2857142857142857,0.4,0.3333333333333333,0.6476190476190475,0.4945454545454545,0.530952380952381,0.1865062478815823,0.6357142857142857
