latitude,longitude,probability,classification,image_date,historical_change,top_features,prob_unsupervised,prob_scraped,prob_ml,fusion_weights
23.24422034701732,87.63077965298187,0.8150340164141576,Sand Mining Likely,2026-03-04,0.001357608287761651,"global_red_mean (0.682), NDVI_trend (0.137), MNDWI_trend (0.093)",0.15050744354665133,0.0,0.9999790900743656,"L1=0.10,L2=0.10,L3=0.80"
22.59791666666638,87.85208333333304,0.0021820359993883452,No Sand Mining Likely,2026-03-04,0.0029919241157490796,"global_red_mean (0.682), NDVI_trend (0.137), MNDWI_trend (0.093)",0.02163727512951741,0.0,2.2885608045755177e-05,"L1=0.10,L2=0.10,L3=0.80"
22.66874999999959,87.78541666666626,0.0016481164902238967,No Sand Mining Likely,2026-03-04,0.003919317052795336,"global_red_mean (0.682), NDVI_trend (0.137), MNDWI_trend (0.093)",0.016298080037872923,0.0,2.2885608045755177e-05,"L1=0.10,L2=0.10,L3=0.80"
23.67708333333303,86.77158632440317,0.8082939852193465,Sand Mining Likely,2026-03-02,-0.0013292485754737824,"global_red_mean (0.682), NDVI_trend (0.137), MNDWI_trend (0.093)",0.08310713159853998,0.0,0.9999790900743656,"L1=0.10,L2=0.10,L3=0.80"
23.72708333333304,86.1354166666664,0.008721831323314666,No Sand Mining Likely,2026-03-02,0.0007829959796103634,"global_red_mean (0.682), NDVI_trend (0.137), MNDWI_trend (0.093)",0.08703522836878061,0.0,2.2885608045755177e-05,"L1=0.10,L2=0.10,L3=0.80"
23.418749999999648,87.36532362304024,0.014940473002138438,No Sand Mining Likely,2026-03-04,-0.0003958346434233753,"global_red_mean (0.682), NDVI_trend (0.137), MNDWI_trend (0.093)",0.14922164515701833,0.0,2.2885608045755177e-05,"L1=0.10,L2=0.10,L3=0.80"
23.593749999999773,87.07952519976158,0.8195185105543201,Sand Mining Likely,2026-03-02,0.0028005540579795827,"global_red_mean (0.682), NDVI_trend (0.137), MNDWI_trend (0.093)",0.19535238494827606,0.0,0.9999790900743656,"L1=0.10,L2=0.10,L3=0.80"
22.439583333332962,87.8854166666664,0.8085910227953799,Sand Mining Likely,2026-03-04,0.0028530119575208863,"global_red_mean (0.682), NDVI_trend (0.137), MNDWI_trend (0.093)",0.08607750735887391,0.0,0.9999790900743656,"L1=0.10,L2=0.10,L3=0.80"
23.652083333333053,86.44150699696625,0.010973590110601911,No Sand Mining Likely,2026-03-02,0.0022034510241402626,"global_red_mean (0.682), NDVI_trend (0.137), MNDWI_trend (0.093)",0.10955281624165306,0.0,2.2885608045755177e-05,"L1=0.10,L2=0.10,L3=0.80"
22.89915424705142,87.91582091371792,0.8055340017194753,Sand Mining Likely,2026-03-04,0.0005260454041832886,"global_red_mean (0.682), NDVI_trend (0.137), MNDWI_trend (0.093)",0.05550729659982777,0.0,0.9999790900743656,"L1=0.10,L2=0.10,L3=0.80"
23.174886326004827,87.94594700732789,0.8098200638528028,Sand Mining Likely,2026-03-04,0.0026325619746701795,"global_red_mean (0.682), NDVI_trend (0.137), MNDWI_trend (0.093)",0.09836791793310341,0.0,0.9999790900743656,"L1=0.10,L2=0.10,L3=0.80"
