latitude,longitude,probability,classification,image_date
23.252083333332905,87.60835877804385,0.777516643723437,Sand Mining Likely,2025-06-07
22.898835703751768,87.91550237041827,0.7746625843530849,Sand Mining Likely,2025-06-07
23.49727846011917,87.26938820654675,0.7747237653099187,Sand Mining Likely,2025-06-07
23.500703047857456,87.26179695214196,0.7858203388236495,Sand Mining Likely,2025-06-07
23.610416666666424,87.05508291686473,0.7750480993624381,Sand Mining Likely,2025-06-07
22.608457912446823,87.8270833333329,0.7746527872951653,Sand Mining Likely,2025-06-07
23.146852537500337,88.00731412916582,0.7746883395624893,Sand Mining Likely,2025-06-07
23.680909987322007,86.84825667934386,0.7750480970693524,Sand Mining Likely,2025-06-07
23.621993991763027,87.02383934156961,0.7750480984156661,Sand Mining Likely,2025-06-07
23.72708333333304,86.16965377401411,0.7744953096923806,Sand Mining Likely,2025-04-26
23.54739573956171,87.2151042604376,0.7751158365192095,Sand Mining Likely,2025-06-07
23.684812884543376,86.83185378212245,0.7750480970693524,Sand Mining Likely,2025-06-07
22.599190839865003,87.85335750653165,0.7746377149536775,Sand Mining Likely,2025-06-07
23.653589987430177,86.43807667923592,0.7747462789144266,Sand Mining Likely,2025-04-26
23.561836169442813,87.19649716388979,0.7750480970693524,Sand Mining Likely,2025-06-07
23.510896433446355,87.25160356655294,0.7750480970693524,Sand Mining Likely,2025-06-07
22.89501318415593,87.9116798508224,0.7748259908926046,Sand Mining Likely,2025-06-07
23.456249999999784,87.32086787661741,0.7782799596124536,Sand Mining Likely,2025-06-07
22.606654401144848,87.8270833333329,0.774649388882225,Sand Mining Likely,2025-06-07
23.66641209704175,86.4127545696241,0.7746685154195712,Sand Mining Likely,2025-04-26
22.59032526992383,87.85550806340876,0.7745553412482667,Sand Mining Likely,2025-06-07
23.196947180373964,87.89471948629206,0.7754356501487003,Sand Mining Likely,2025-06-07
23.413367019939948,87.39913298005955,0.7765946746416807,Sand Mining Likely,2025-06-07
23.681249999999636,86.68381128714009,0.7751441202650372,Sand Mining Likely,2025-04-26
22.65539671849733,87.87708333333296,0.7747051574636789,Sand Mining Likely,2025-06-07
23.720390956837818,86.19210904316145,0.7747469268878014,Sand Mining Likely,2025-04-26
23.627083333332962,86.91361782333597,0.7750826005375755,Sand Mining Likely,2025-06-07
23.331249999999727,87.51280223375502,0.7803198779507096,Sand Mining Likely,2025-06-07
22.952005461132998,87.94374999999968,0.7748623943927162,Sand Mining Likely,2025-06-07
22.663237893267944,87.87990455993453,0.7746512701916587,Sand Mining Likely,2025-06-07
23.717364300957346,86.20346903237524,0.7748400776777606,Sand Mining Likely,2025-04-26
22.626775695957377,87.81905763737521,0.7750480970693524,Sand Mining Likely,2025-06-07
23.71041666666639,86.24023419442813,0.7747062805327716,Sand Mining Likely,2025-04-26
23.71874999999966,86.3088605354737,0.7747132976739565,Sand Mining Likely,2025-04-26
22.78838448915947,87.9229166666662,0.7746882631296306,Sand Mining Likely,2025-06-07
23.243264717118333,87.63173528288081,0.7794777828075264,Sand Mining Likely,2025-06-07
23.581828965032855,87.1056710349664,0.7750480970693524,Sand Mining Likely,2025-06-07
23.39027114711375,87.43889551955213,0.7768964745282828,Sand Mining Likely,2025-06-07
22.79927227044434,87.91874999999959,0.7747263100672915,Sand Mining Likely,2025-06-07
22.596114673388904,87.85208333333304,0.774582598028359,Sand Mining Likely,2025-06-07
23.006368304382118,87.96041666666639,0.7749653194284877,Sand Mining Likely,2025-06-07
23.683230969515336,86.79156430284871,0.7750480970693524,Sand Mining Likely,2025-06-07
23.6229166666663,86.97331046246518,0.7759922875768195,Sand Mining Likely,2025-06-07
23.08265883655148,87.99374999999958,0.7747614579440981,Sand Mining Likely,2025-06-07
22.603985404648657,87.82934792868409,0.7745975357772921,Sand Mining Likely,2025-06-07
23.48405841864982,87.2909415813495,0.7740668505538149,Sand Mining Likely,2025-06-07
22.926706159760663,87.93087282642723,0.7748997397082399,Sand Mining Likely,2025-06-07
23.23124999999959,87.80606473101493,0.7753223446669234,Sand Mining Likely,2025-06-07
23.05692408826724,87.98192408826722,0.7751635990568312,Sand Mining Likely,2025-06-07
22.77105855206834,87.92894144793085,0.7746391508625273,Sand Mining Likely,2025-06-07
23.307385833493104,87.54374999999976,0.7753397779839997,Sand Mining Likely,2025-06-07
23.63883567892913,86.89866432107033,0.7754055122555459,Sand Mining Likely,2025-06-07
23.68051275710795,86.68051275710798,0.7748705659172359,Sand Mining Likely,2025-04-26
23.137987109896976,88.00882044323029,0.7746862177501933,Sand Mining Likely,2025-06-07
23.677964410710768,86.67796441071069,0.7748819082799784,Sand Mining Likely,2025-04-26
23.6752872272297,86.85208333333304,0.7750480970693524,Sand Mining Likely,2025-06-07
23.681249999999636,86.6946230052499,0.7750004907802132,Sand Mining Likely,2025-04-26
23.632464812936025,86.90503518706342,0.7750792024749813,Sand Mining Likely,2025-06-07
23.627083333332962,86.92442954144578,0.7751310911627146,Sand Mining Likely,2025-06-07
23.631249999999568,86.53694033455693,0.7747185651085621,Sand Mining Likely,2025-04-26
23.245638043016342,87.75436195698285,0.7750480976682792,Sand Mining Likely,2025-06-07
23.41041666666638,87.4177323869211,0.7765559199708746,Sand Mining Likely,2025-06-07
22.62915792562659,87.87082459229323,0.7750044857809855,Sand Mining Likely,2025-06-07
22.675446391223986,87.88958333333284,0.7746630259812188,Sand Mining Likely,2025-06-07
23.71041666666639,86.25104591253793,0.7747020268177236,Sand Mining Likely,2025-04-26
23.681249999999636,86.77796922314239,0.7750480970693524,Sand Mining Likely,2025-04-25
