Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,CV F1 Mean,CV F1 Std,CV PR-AUC
Random Forest,0.9090909090909091,1.0,0.75,0.8571428571428571,1.0,1.0,0.9446153846153846,0.0782047078593159,1.0
Gradient Boosting,0.8181818181818182,1.0,0.5,0.6666666666666666,0.75,0.6818181818181819,0.7822222222222223,0.2110058216972306,0.8206349206349206
XGBoost,0.9090909090909091,1.0,0.75,0.8571428571428571,0.9107142857142857,0.8928571428571428,0.9446153846153846,0.0782047078593159,0.9297619047619048
LightGBM,0.7272727272727273,1.0,0.25,0.4,0.8928571428571428,0.825,0.7733333333333333,0.13727506854649335,0.9797619047619047
SVM,0.9090909090909091,1.0,0.75,0.8571428571428571,1.0,1.0,0.9446153846153846,0.0782047078593159,1.0
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,0.8933333333333333,0.13727506854649335,1.0
